Date,Close
1/10/2012 16:00:00,33.78
1/11/2012 16:00:00,33.89
1/12/2012 16:00:00,33.85
1/13/2012 16:00:00,33.74
1/17/2012 16:00:00,33.9
1/18/2012 16:00:00,34.27
1/19/2012 16:00:00,34.54
1/20/2012 16:00:00,34.53
1/23/2012 16:00:00,34.53
1/24/2012 16:00:00,34.61
1/25/2012 16:00:00,34.93
1/26/2012 16:00:00,34.76
1/27/2012 16:00:00,34.88
1/30/2012 16:00:00,34.65
1/31/2012 16:00:00,34.67
2/1/2012 16:00:00,35.1
2/2/2012 16:00:00,35.1
2/3/2012 16:00:00,35.56
2/6/2012 16:00:00,35.5
2/7/2012 16:00:00,35.6
2/8/2012 16:00:00,35.65
2/9/2012 16:00:00,35.67
2/10/2012 16:00:00,35.33
2/13/2012 16:00:00,35.64
2/14/2012 16:00:00,35.56
2/15/2012 16:00:00,35.49
2/16/2012 16:00:00,35.82
2/17/2012 16:00:00,35.91
2/21/2012 16:00:00,35.85
2/22/2012 16:00:00,35.77
2/23/2012 16:00:00,35.98
2/24/2012 16:00:00,36
2/27/2012 16:00:00,36.07
2/28/2012 16:00:00,36.18
2/29/2012 16:00:00,35.96
3/1/2012 16:00:00,36.1
3/2/2012 16:00:00,36
3/5/2012 16:00:00,35.84
3/6/2012 16:00:00,35.22
3/7/2012 16:00:00,35.53
3/8/2012 16:00:00,35.89
3/9/2012 16:00:00,35.97
3/12/2012 16:00:00,35.93
3/13/2012 16:00:00,36.45
3/14/2012 16:00:00,36.28
3/15/2012 16:00:00,36.5
3/16/2012 16:00:00,36.58
3/19/2012 16:00:00,36.7
3/20/2012 16:00:00,36.5
3/21/2012 16:00:00,36.46
3/22/2012 16:00:00,36.21
3/23/2012 16:00:00,36.35
3/26/2012 16:00:00,36.75
3/27/2012 16:00:00,36.59
3/28/2012 16:00:00,36.32
3/29/2012 16:00:00,36.29
3/30/2012 16:00:00,36.45
4/2/2012 16:00:00,36.69
4/3/2012 16:00:00,36.48
4/4/2012 16:00:00,36.11
4/5/2012 16:00:00,36.04
4/9/2012 16:00:00,35.78
4/10/2012 16:00:00,35.2
4/11/2012 16:00:00,35.46
4/12/2012 16:00:00,35.96
4/13/2012 16:00:00,35.57
4/16/2012 16:00:00,35.63
4/17/2012 16:00:00,36.06
4/18/2012 16:00:00,35.92
4/19/2012 16:00:00,35.75
4/20/2012 16:00:00,35.86
4/23/2012 16:00:00,35.44
4/24/2012 16:00:00,35.56
4/25/2012 16:00:00,36.04
4/26/2012 16:00:00,36.25
4/27/2012 16:00:00,36.39
4/30/2012 16:00:00,36.2
5/1/2012 16:00:00,36.48
5/2/2012 16:00:00,36.29
5/3/2012 16:00:00,36.01
5/4/2012 16:00:00,35.56
5/7/2012 16:00:00,35.6
5/8/2012 16:00:00,35.4
5/9/2012 16:00:00,35.34
5/10/2012 16:00:00,35.3
5/11/2012 16:00:00,35.22
5/14/2012 16:00:00,34.85
5/15/2012 16:00:00,34.63
5/16/2012 16:00:00,34.41
5/17/2012 16:00:00,33.96
5/18/2012 16:00:00,33.75
5/21/2012 16:00:00,34.27
5/22/2012 16:00:00,34.26
5/23/2012 16:00:00,34.26
5/24/2012 16:00:00,34.1
5/25/2012 16:00:00,34.15
5/29/2012 16:00:00,34.52
5/30/2012 16:00:00,34.1
5/31/2012 16:00:00,34
6/1/2012 16:00:00,33.34
6/4/2012 16:00:00,33.33
6/5/2012 16:00:00,33.56
6/6/2012 16:00:00,34.07
6/7/2012 16:00:00,34.16
6/8/2012 16:00:00,34.27
6/11/2012 16:00:00,34.08
6/12/2012 16:00:00,34.26
6/13/2012 16:00:00,34.07
6/14/2012 16:00:00,34.32
6/15/2012 16:00:00,34.64
6/18/2012 16:00:00,34.72
6/19/2012 16:00:00,35.13
6/20/2012 16:00:00,35.01
6/21/2012 16:00:00,34.35
6/22/2012 16:00:00,34.6
6/25/2012 16:00:00,34.09
6/26/2012 16:00:00,33.98
6/27/2012 16:00:00,34.24
6/28/2012 16:00:00,34.06
6/29/2012 16:00:00,34.92
7/2/2012 16:00:00,35.1
7/3/2012 16:00:00,35.32
7/5/2012 16:00:00,35.27
7/6/2012 16:00:00,34.94
7/9/2012 16:00:00,34.78
7/10/2012 16:00:00,34.56
7/11/2012 16:00:00,34.54
7/12/2012 16:00:00,34.53
7/13/2012 16:00:00,34.92
7/16/2012 16:00:00,34.89
7/17/2012 16:00:00,35.03
7/18/2012 16:00:00,35.21
7/19/2012 16:00:00,35.33
7/20/2012 16:00:00,34.94
7/23/2012 16:00:00,34.64
7/24/2012 16:00:00,34.23
7/25/2012 16:00:00,34.37
7/26/2012 16:00:00,34.87
7/27/2012 16:00:00,35.48
7/30/2012 16:00:00,35.4
7/31/2012 16:00:00,35.26
8/1/2012 16:00:00,35.28
8/2/2012 16:00:00,34.93
8/3/2012 16:00:00,35.52
8/6/2012 16:00:00,35.7
8/7/2012 16:00:00,35.87
8/8/2012 16:00:00,35.88
8/9/2012 16:00:00,35.9
8/10/2012 16:00:00,35.97
8/13/2012 16:00:00,35.89
8/14/2012 16:00:00,35.83
8/15/2012 16:00:00,35.89
8/16/2012 16:00:00,36.18
8/17/2012 16:00:00,36.16
8/20/2012 16:00:00,36.21
8/21/2012 16:00:00,36.14
8/22/2012 16:00:00,36.23
8/23/2012 16:00:00,36
8/24/2012 16:00:00,36.17
8/27/2012 16:00:00,36.1
8/28/2012 16:00:00,36.15
8/29/2012 16:00:00,36.1
8/30/2012 16:00:00,35.86
8/31/2012 16:00:00,36.05
9/4/2012 16:00:00,36.08
9/5/2012 16:00:00,36.01
9/6/2012 16:00:00,36.61
9/7/2012 16:00:00,36.8
9/10/2012 16:00:00,36.64
9/11/2012 16:00:00,36.77
9/12/2012 16:00:00,36.86
9/13/2012 16:00:00,37.4
9/14/2012 16:00:00,37.54
9/17/2012 16:00:00,37.43
9/18/2012 16:00:00,37.29
9/19/2012 16:00:00,37.46
9/20/2012 16:00:00,37.26
9/21/2012 16:00:00,37.32
9/24/2012 16:00:00,37.19
9/25/2012 16:00:00,36.89
9/26/2012 16:00:00,36.58
9/27/2012 16:00:00,36.87
9/28/2012 16:00:00,36.65
10/1/2012 16:00:00,36.73
10/2/2012 16:00:00,36.78
10/3/2012 16:00:00,36.82
10/4/2012 16:00:00,37.09
10/5/2012 16:00:00,37.03
10/8/2012 16:00:00,36.99
10/9/2012 16:00:00,36.64
10/10/2012 16:00:00,36.48
10/11/2012 16:00:00,36.6
10/12/2012 16:00:00,36.45
10/15/2012 16:00:00,36.72
10/16/2012 16:00:00,37.08
10/17/2012 16:00:00,37.25
10/18/2012 16:00:00,37.18
