Date,Close
1/10/2012 16:00:00,17.59
1/11/2012 16:00:00,17.66
1/12/2012 16:00:00,17.83
1/13/2012 16:00:00,17.68
1/17/2012 16:00:00,17.71
1/18/2012 16:00:00,17.99
1/19/2012 16:00:00,18.16
1/20/2012 16:00:00,18.16
1/23/2012 16:00:00,18.1
1/24/2012 16:00:00,18.15
1/25/2012 16:00:00,18.35
1/26/2012 16:00:00,18.28
1/27/2012 16:00:00,18.33
1/30/2012 16:00:00,18.26
1/31/2012 16:00:00,18.26
2/1/2012 16:00:00,18.75
2/2/2012 16:00:00,18.65
2/3/2012 16:00:00,19.17
2/6/2012 16:00:00,19.06
2/7/2012 16:00:00,19.07
2/8/2012 16:00:00,19.08
2/9/2012 16:00:00,19.14
2/10/2012 16:00:00,18.92
2/13/2012 16:00:00,19.23
2/14/2012 16:00:00,19.09
2/15/2012 16:00:00,18.86
2/16/2012 16:00:00,19.35
2/17/2012 16:00:00,19.43
2/21/2012 16:00:00,19.4
2/22/2012 16:00:00,19.33
2/23/2012 16:00:00,19.53
2/24/2012 16:00:00,19.29
2/27/2012 16:00:00,19.46
2/28/2012 16:00:00,19.21
2/29/2012 16:00:00,18.91
3/1/2012 16:00:00,18.98
3/2/2012 16:00:00,18.75
3/5/2012 16:00:00,18.66
3/6/2012 16:00:00,18.18
3/7/2012 16:00:00,18.38
3/8/2012 16:00:00,18.71
3/9/2012 16:00:00,18.83
3/12/2012 16:00:00,18.76
3/13/2012 16:00:00,19.08
3/14/2012 16:00:00,18.98
3/15/2012 16:00:00,19.12
3/16/2012 16:00:00,19.07
3/19/2012 16:00:00,19.07
3/20/2012 16:00:00,18.9
3/21/2012 16:00:00,18.86
3/22/2012 16:00:00,18.65
3/23/2012 16:00:00,18.82
3/26/2012 16:00:00,19.16
3/27/2012 16:00:00,19.2
3/28/2012 16:00:00,19.2
3/29/2012 16:00:00,19.16
3/30/2012 16:00:00,19.2
4/2/2012 16:00:00,19.44
4/3/2012 16:00:00,19.34
4/4/2012 16:00:00,19.01
4/5/2012 16:00:00,18.9
4/9/2012 16:00:00,18.58
4/10/2012 16:00:00,18.22
4/11/2012 16:00:00,18.39
4/12/2012 16:00:00,18.72
4/13/2012 16:00:00,18.48
4/16/2012 16:00:00,18.5
4/17/2012 16:00:00,18.82
4/18/2012 16:00:00,18.7
4/19/2012 16:00:00,18.52
4/20/2012 16:00:00,18.74
4/23/2012 16:00:00,18.45
4/24/2012 16:00:00,18.52
4/25/2012 16:00:00,18.77
4/26/2012 16:00:00,18.78
4/27/2012 16:00:00,18.99
4/30/2012 16:00:00,18.76
5/1/2012 16:00:00,18.83
5/2/2012 16:00:00,18.83
5/3/2012 16:00:00,18.67
5/4/2012 16:00:00,18.38
5/7/2012 16:00:00,18.39
5/8/2012 16:00:00,18.4
5/9/2012 16:00:00,18.29
5/10/2012 16:00:00,18.42
5/11/2012 16:00:00,18.44
5/14/2012 16:00:00,18.18
5/15/2012 16:00:00,18.05
5/16/2012 16:00:00,17.93
5/17/2012 16:00:00,17.41
5/18/2012 16:00:00,17.3
5/21/2012 16:00:00,17.67
5/22/2012 16:00:00,17.7
5/23/2012 16:00:00,17.79
5/24/2012 16:00:00,17.94
5/25/2012 16:00:00,17.81
5/29/2012 16:00:00,17.99
5/30/2012 16:00:00,17.63
5/31/2012 16:00:00,17.55
6/1/2012 16:00:00,17.16
6/4/2012 16:00:00,17.04
6/5/2012 16:00:00,17.21
6/6/2012 16:00:00,17.62
6/7/2012 16:00:00,17.5
6/8/2012 16:00:00,17.66
6/11/2012 16:00:00,17.26
6/12/2012 16:00:00,17.48
6/13/2012 16:00:00,17.33
6/14/2012 16:00:00,17.46
6/15/2012 16:00:00,17.52
6/18/2012 16:00:00,17.64
6/19/2012 16:00:00,17.94
6/20/2012 16:00:00,17.91
6/21/2012 16:00:00,17.54
6/22/2012 16:00:00,17.57
6/25/2012 16:00:00,17.34
6/26/2012 16:00:00,17.37
6/27/2012 16:00:00,17.66
6/28/2012 16:00:00,17.75
6/29/2012 16:00:00,18.13
7/2/2012 16:00:00,18.26
7/3/2012 16:00:00,18.58
7/5/2012 16:00:00,18.61
7/6/2012 16:00:00,18.33
7/9/2012 16:00:00,18.27
7/10/2012 16:00:00,18.06
7/11/2012 16:00:00,17.96
7/12/2012 16:00:00,17.96
7/13/2012 16:00:00,18.27
7/16/2012 16:00:00,18.16
7/17/2012 16:00:00,18.3
